iter	Passed	Remaining
0	14	2940
1	28	2821
2	45	2983
3	60	2978
4	78	3046
5	95	3071
6	113	3125
7	130	3125
8	146	3116
9	162	3096
10	179	3086
11	195	3066
12	210	3033
13	226	3006
14	243	2998
15	263	3030
16	287	3095
17	305	3086
18	321	3062
19	336	3030
20	351	2998
21	368	2981
22	385	2963
23	401	2943
24	417	2923
25	434	2905
26	449	2880
27	465	2856
28	480	2832
29	495	2809
30	511	2788
31	527	2769
32	544	2753
33	565	2759
34	582	2746
35	622	2836
36	688	3031
37	709	3023
38	734	3031
39	754	3016
40	772	2997
41	791	2977
42	810	2959
43	833	2953
44	851	2932
45	869	2910
46	886	2885
47	945	2994
48	970	2990
49	990	2970
50	1017	2973
51	1035	2947
52	1054	2923
53	1072	2900
54	1090	2874
55	1108	2851
56	1125	2822
57	1139	2789
58	1154	2758
59	1168	2725
60	1182	2693
61	1196	2662
62	1210	2632
63	1223	2600
64	1239	2573
65	1253	2544
66	1268	2518
67	1282	2489
68	1296	2461
69	1311	2434
70	1325	2408
71	1340	2382
72	1354	2356
73	1368	2330
74	1383	2305
75	1397	2280
76	1411	2254
77	1425	2230
78	1439	2204
79	1453	2180
80	1467	2156
81	1482	2133
82	1496	2109
83	1510	2085
84	1523	2061
85	1537	2038
86	1551	2015
87	1566	1993
88	1580	1971
89	1594	1949
90	1609	1927
91	1622	1904
92	1636	1882
93	1650	1861
94	1666	1841
95	1684	1824
96	1700	1805
97	1715	1785
98	1731	1766
99	1744	1744
100	1757	1723
101	1773	1703
102	1789	1685
103	1804	1665
104	1819	1645
105	1834	1626
106	1849	1607
107	1863	1587
108	1878	1568
109	1892	1548
110	1907	1529
111	1921	1509
112	1935	1490
113	1949	1470
114	1964	1451
115	1978	1432
116	1992	1413
117	2006	1394
118	2019	1374
119	2033	1355
120	2047	1336
121	2061	1318
122	2075	1299
123	2089	1280
124	2103	1261
125	2116	1243
126	2130	1224
127	2145	1206
128	2160	1188
129	2175	1171
130	2188	1152
131	2203	1134
132	2216	1116
133	2230	1098
134	2244	1080
135	2258	1062
136	2272	1044
137	2286	1027
138	2299	1009
139	2313	991
140	2327	974
141	2342	956
142	2356	939
143	2370	921
144	2383	904
145	2396	886
146	2411	869
147	2426	852
148	2438	834
149	2451	817
150	2464	799
151	2478	782
152	2493	765
153	2507	748
154	2521	732
155	2535	715
156	2549	698
157	2563	681
158	2577	664
159	2591	647
160	2603	630
161	2617	613
162	2630	597
163	2644	580
164	2658	563
165	2672	547
166	2686	530
167	2701	514
168	2716	498
169	2729	481
170	2743	465
171	2758	449
172	2773	432
173	2787	416
174	2801	400
175	2816	384
176	2829	367
177	2842	351
178	2857	335
179	2871	319
180	2884	302
181	2899	286
182	2913	270
183	2927	254
184	2942	238
185	2956	222
186	2972	206
187	2989	190
188	3005	174
189	3022	159
190	3039	143
191	3054	127
192	3070	111
193	3086	95
194	3102	79
195	3118	63
196	3132	47
197	3148	31
198	3164	15
199	3179	0
